"province","district","commune"
"Bac Kan","Ba Be","Thi Tran Cho Ra"
"Bac Kan","Pac Nam","An Thang"
"Bac Kan","Na Ri","Con Minh"
"Bac Kan","Pac Nam","Cao Tan"
"Bac Kan","Bach Thong","Quan Binh"
"Bac Kan","Ngan Son","Lang Ngam"
"Bac Ninh","Yen Phong","Thi tran Cho"
"Bac Ninh","Que Vo","Phuong Lieu"
"Bac Ninh","Tien Du","Noi Due"
"Bac Ninh","Que Vo","Chau Phong"
"Bac Ninh","Que Vo","Mo Dao"
"Bac Ninh","Tien Du","Phu Lam"
"Bac Ninh","Thuan Thanh","Thanh Khuong"
"Bac Ninh","Gia Binh","Xuan Lai"
"Bac Ninh","Tien Du","Minh Dao"
"Bac Ninh","Yen Phong","Thuy Hoa"
"Bac Ninh","Thanh pho Bac Ninh","Dai Phuc"
"Bac Ninh","Luong Tai","Binh Dinh"
"Bac Ninh","Que Vo","Bang An"
"Bac Ninh","Luong Tai","An Thinh"
"Bac Ninh","Yen Phong","Trung Nghia"
"Bac Ninh","Tien Du","Tan Chi"
"Bac Ninh","Luong Tai","Thi tran Thua"
"Bac Ninh","Thanh pho Bac Ninh","Van An"
"Bac Ninh","Thanh pho Bac Ninh","Kinh Bac"
"Bac Ninh","Thi Xa Tu Son","Dong Nguyen"
"Bac Ninh","Yen Phong","Van Mon"
"Bac Ninh","Yen Phong","Yen Phu"
"Bac Ninh","Yen Phong","Long Chau"
"Bac Ninh","Que Vo","Ngoc Xa"
"Bac Ninh","Que Vo","Dao Vien"
"Bac Ninh","Thanh pho Bac Ninh","Nam Son"
"Bac Ninh","Thuan Thanh","Gia Dong"
"Bac Ninh","Luong Tai","Phu Hoa"
"Bac Ninh","Yen Phong","Tam Giang"
"Bac Ninh","Que Vo","Dai Xuan"
"Bac Ninh","Thanh pho Bac Ninh","Khac Niem"
"Bac Ninh","Que Vo","Duc Long"
"Bac Ninh","Thi Xa Tu Son","Phu Khe"
"Bac Ninh","Yen Phong","Yen Trung"
"Bac Ninh","Thi Xa Tu Son","Dinh Bang"
"Bac Ninh","Que Vo","Phu Lang"
"Bac Ninh","Thuan Thanh","Dinh To"
"Bac Ninh","Thuan Thanh","Mao Dien"
"Bac Ninh","Que Vo","Bong Lai"
"Bac Ninh","Gia Binh","Dai Lai"
"Bac Ninh","Que Vo","Phuong Mao"
"Bac Ninh","Thi Xa Tu Son","Phu Chan"
"Bac Ninh","Tien Du","Viet Doan"
"Bac Ninh","Thanh pho Bac Ninh","Van Duong"
"Bac Ninh","Thi Xa Tu Son","Huong Mac"
"Bac Ninh","Thanh pho Bac Ninh","Hoa Long"
"Bac Ninh","Thi Xa Tu Son","Tuong Giang"
"Bac Ninh","Gia Binh","Thi Tran Gia Binh"
"Bac Ninh","Thi Xa Tu Son","Trang Ha"
"Bac Ninh","Que Vo","Thi tran Pho Moi"
"Bac Ninh","Thi Xa Tu Son","Chau Khe"
"Bac Ninh","Thuan Thanh","Song Lieu"
"Bac Ninh","Gia Binh","Song Giang"
"Bac Ninh","Yen Phong","Dong Tien"
"Bac Ninh","Gia Binh","Nhan Thang"
"Bac Ninh","Thi Xa Tu Son","Tam Son"
"Bac Ninh","Thanh pho Bac Ninh","Kim Chan"
"Bac Ninh","Que Vo","Nhan Hoa"
"Bac Ninh","Thuan Thanh","Ninh Xa"
"Bac Ninh","Luong Tai","Lam Thao"
"Bac Ninh","Tien Du","Tri Phuong"
"Bac Ninh","Que Vo","Cach Bi"
"Bac Ninh","Thi Xa Tu Son","Dong Ngan"
"Bac Ninh","Thuan Thanh","Song Ho"
"Bac Ninh","Tien Du","Lac Ve"
"Bac Ninh","Luong Tai","Tan Lang"
"Bac Ninh","Thuan Thanh","Tram Lo"
"Bac Ninh","Luong Tai","Trung Kenh"
"Bac Ninh","Tien Du","Thi tran Lim"
"Bac Ninh","Thi Xa Tu Son","Tan Hong"
"Bac Ninh","Tien Du","Lien Bao"
"Bac Ninh","Thuan Thanh","Hoai Thuong"
"Bac Ninh","Que Vo","Yen Gia"
"Bac Ninh","Yen Phong","Dong Phong"
